COUNTY	PARCEL_NUM	DATE_UPDATED
FakeTestCounty	00373301100301	10/30/23
Snohomish	00373301100301	11/3/22
Snohomish	00373301100305	11/3/22
Snohomish	00377801300100	11/3/22
Snohomish	00377801400100	11/3/22
Snohomish	00397700001001	11/3/22
Snohomish	00403800006701	11/3/22
Snohomish	00422800000300	11/3/22
Snohomish	00422800000400	11/3/22
Snohomish	00422800000500	11/3/22
Snohomish	00452500000100	11/3/22
Snohomish	00460100003900	11/3/22
Snohomish	00486300000801	11/3/22
Snohomish	00486300000806	11/3/22
Snohomish	00489200001600	11/3/22
Snohomish	00489200001700	11/3/22
Snohomish	00493900006304	11/3/22
Snohomish	00543600001900	11/3/22
Snohomish	00544700100100	11/3/22
Snohomish	00556800101802	11/3/22
Snohomish	00557100406000	11/3/22
Snohomish	00557100406100	11/3/22
Snohomish	00557500003202	11/3/22
Snohomish	00602900002000	11/3/22
Snohomish	00608200700100	11/3/22
Snohomish	00611100007300	11/3/22
Snohomish	00622400000600	11/3/22
Snohomish	00645300000200	11/3/22
Snohomish	00647500006300	11/3/22
Snohomish	00667400003200	11/3/22
Snohomish	00818700010300	11/3/22
Snohomish	00857312810200	11/3/22
Snohomish	00861100001100	11/3/22
Snohomish	01013600001000	11/3/22
Snohomish	01017100000200	11/3/22
Snohomish	01026900200800	11/3/22
Snohomish	01051600510100	11/3/22
Snohomish	01065600000200	11/3/22
Snohomish	01070900031000	11/3/22
Snohomish	2.70419E+13	11/3/22
Snohomish	2.70433E+13	11/3/22
Snohomish	2.70526E+13	11/3/22
Snohomish	2.70908E+13	11/3/22
Snohomish	2.80501E+13	11/3/22
Snohomish	2.80614E+13	11/3/22
Snohomish	2.80618E+13	11/3/22
Snohomish	2.80622E+13	11/3/22
Snohomish	2.80833E+13	11/3/22
Snohomish	3.00606E+13	11/3/22
Snohomish	3.0062E+13	11/3/22
Snohomish	3.00807E+13	11/3/22
Snohomish	3.00807E+13	11/3/22
Snohomish	3.10421E+13	11/3/22
Snohomish	3.10509E+13	11/3/22
Snohomish	3.10525E+13	11/3/22
Snohomish	3.10607E+13	11/3/22
Snohomish	3.10618E+13	11/3/22
Snohomish	3.10632E+13	11/3/22
Snohomish	3.20312E+13	11/3/22
Snohomish	3.20426E+13	11/3/22
Snohomish	3.20435E+13	11/3/22
Snohomish	3.20528E+13	11/3/22
Snohomish	3.20528E+13	11/3/22
Snohomish	3.20528E+13	11/3/22
Snohomish	3.20632E+13	11/3/22
Snohomish	3.20905E+13	11/3/22
Snohomish	3.20923E+13	11/3/22
Snohomish	3.20924E+13	11/3/22
King	0024500320	12/26/22
King	0100601160	12/26/22
King	0182000349	12/26/22
King	0193800140	12/26/22
King	0303000450	12/26/22
King	0324500780	12/26/22
King	0380000950	12/26/22
King	0643400060	12/26/22
King	0722059047	12/26/22
King	0742000052	12/26/22
King	0758000010	12/26/22
King	0832000140	12/26/22
King	0872000090	12/26/22
King	0923049112	12/26/22
King	0923049436	12/26/22
King	1021069089	12/26/22
King	1024069112	12/26/22
King	1157200100	12/26/22
King	1218000075	12/26/22
King	1223049030	12/26/22
King	1252200170	12/26/22
King	1311600090	12/26/22
King	1312200160	12/26/22
King	1322059140	12/26/22
King	1364300565	12/26/22
King	1370802919	12/26/22
King	1423049037	12/26/22
King	1447200120	12/26/22
King	1550000410	12/26/22
King	1622049170	12/26/22
King	1623049169	12/26/22
King	1623049345	12/26/22
King	1701000300	12/26/22
King	1704900520	12/26/22
King	1724500040	12/26/22
King	1742900010	12/26/22
King	1773100490	12/26/22
King	1789400670	12/26/22
King	1817800010	12/26/22
King	1822119015	12/26/22
King	1823059262	12/26/22
King	1830700120	12/26/22
King	1841400120	12/26/22
King	1920079032	12/26/22
King	1939130350	12/26/22
King	2022059259	12/26/22
King	2114300050	12/26/22
King	2135200180	12/26/22
King	2144800615	12/26/22
King	2144800851	12/26/22
King	2185000495	12/26/22
King	2188203645	12/26/22
King	2221069022	12/26/22
King	2221069059	12/26/22
King	2296500100	12/26/22
King	2361000160	12/26/22
King	2422079028	12/26/22
King	2423029214	12/26/22
King	2425069083	12/26/22
King	2426059036	12/26/22
King	2516000500	12/26/22
King	2523039047	12/26/22
King	2524059275	12/26/22
King	2720069031	12/26/22
King	2770601335	12/26/22
King	2822049102	12/26/22
King	2824069011	12/26/22
King	2824069210	12/26/22
King	2824069397	12/26/22
King	2840200520	12/26/22
King	2840200525	12/26/22
King	2840200530	12/26/22
King	2883201155	12/26/22
King	2924069017	12/26/22
King	2937600770	12/26/22
King	2946001000	12/26/22
King	2976800935	12/26/22
King	3013301450	12/26/22
King	3023000490	12/26/22
King	3083000745	12/26/22
King	3211530750	12/26/22
King	3221049033	12/26/22
King	3223059203	12/26/22
King	3223069032	12/26/22
King	3223069121	12/26/22
King	3226200085	12/26/22
King	3256400070	12/26/22
King	3300701580	12/26/22
King	3300780040	12/26/22
King	3333002170	12/26/22
King	3339400325	12/26/22
King	3343301023	12/26/22
King	3345100371	12/26/22
King	3352401755	12/26/22
King	3361401800	12/26/22
King	3394200590	12/26/22
King	3422059172	12/26/22
King	3451000415	12/26/22
King	3459800240	12/26/22
King	3496500210	12/26/22
King	3523069021	12/26/22
King	3523069148	12/26/22
King	3523069177	12/26/22
King	3575303820	12/26/22
King	3623000170	12/26/22
King	3626039007	12/26/22
King	3750606450	12/26/22
King	3751606207	12/26/22
King	3793600190	12/26/22
King	3793800440	12/26/22
King	3800910150	12/26/22
King	3828000490	12/26/22
King	3828000495	12/26/22
King	3876201500	12/26/22
King	3892300130	12/26/22
King	3992700305	12/26/22
King	4008400015	12/26/22
